timestamp,temperature,humidity,wind_speed,wind_dir,station_id,lat,lon,station_type,traffic_density,industrial_activity,pm25_lcs,pm25_ref,pm25_calibrated_lr,pm25_calibrated_xgb,hour,day_of_week,is_weekend,pm25_lag_1,pm25_lag_3,pm25_lag_6,pm25_rolling_3,pm25_rolling_6,wind_x,wind_y,traffic_wind_interaction,humidity_pollution_interaction,target_6h,target_12h,target_24h,aqi,risk_level
2024-01-01 06:00:00,27.07921281550739,77.59216966532696,1.4713833182502432,53.51141199553478,LCS_01,13.188286091568589,80.32877428853668,low_cost,11.584729699887468,58.44029410755672,69.1423576543976,44.78960772251728,50.78483979408763,53.276627,6,0,0,52.8584,50.186382,47.932873,52.92899633333334,49.57575116666666,0.8749767256190285,1.182955873585359,4.687548715870405,41.33849081380339,44.244793,54.353676,48.901817,88.79437833333333,Satisfactory
2024-01-01 07:00:00,27.473339503640307,75.62019420334616,2.6885865398878885,33.408996348842265,LCS_01,13.188286091568589,80.32877428853668,low_cost,31.656866537899944,61.823227881390565,82.86965107015182,64.78326567395399,55.27382243329528,60.91296,7,0,0,53.276627,52.651962,39.230503,55.68266233333333,53.189493999999996,2.2443283144404083,1.4803675217551235,8.582384118026448,46.06249864700656,39.191486,55.223286,63.32794,103.0432,Moderate
2024-01-01 08:00:00,27.53052561406505,67.30120159845319,3.64020686008032,79.46910634018585,LCS_01,13.188286091568589,80.32877428853668,low_cost,39.22692226429479,55.96110161474133,69.35785078147647,69.96908122976413,49.55468490533442,61.160908,8,0,0,60.91296,52.8584,49.250633,58.450165,55.174539833333334,0.665304831775869,3.5788930502309655,8.453701192023106,41.162025992524484,38.537426,56.449062,63.673496,103.86969333333333,Moderate
2024-01-01 09:00:00,29.836655269098568,62.22619069645063,2.899951233176419,110.98612685008506,LCS_01,13.188286091568589,80.32877428853668,low_cost,51.91494492426016,56.24064027605493,101.36837002556751,70.26301135081819,59.77414956450508,67.827065,9,0,0,61.160908,53.276627,50.186382,63.300311,58.11465366666667,-1.0385940132735991,2.7075892654525116,13.311690793111959,42.20619881070553,45.084385,49.636677,68.9855,126.09021666666669,Moderate
2024-01-01 10:00:00,30.036582307187537,63.47922627548841,3.808833012598964,134.4300532465096,LCS_01,13.188286091568589,80.32877428853668,low_cost,41.85831708750264,55.06805482214446,98.66922419689315,68.379021710051,58.95786921723834,65.97487,10,0,0,67.827065,60.91296,52.651962,64.98761433333334,60.33513833333333,-2.6663278644550052,2.719908939118093,8.704464675283049,41.88033701225932,40.53837,44.486954,61.278954,119.91623333333332,Moderate
2024-01-01 11:00:00,31.06980415236248,54.50153439412663,5.925757809327676,86.58220393608647,LCS_01,13.188286091568589,80.32877428853668,low_cost,14.062349749228678,52.81093565470532,53.938914390041845,48.25062054285134,42.15109088863197,44.703667,11,0,0,65.97487,61.160908,52.8584,59.50186733333334,58.97601616666666,0.3532724895498472,5.915218014827111,2.0304420305153283,24.364184445440838,49.78413,45.631912,59.36173,74.50611166666667,Satisfactory
2024-01-01 12:00:00,32.57208929048822,59.05088272180578,5.240753179488569,75.60686145353202,LCS_01,13.188286091568589,80.32877428853668,low_cost,18.057196470328947,49.64181342996769,58.74130248969045,50.20980922370897,44.16676817574039,44.244793,12,0,0,44.703667,67.827065,53.276627,51.64111,57.4707105,1.302714418759071,5.0762613241909404,2.8934322430307584,26.126940824935733,54.353676,52.559326,47.514996,73.74132166666666,Satisfactory
2024-01-01 13:00:00,30.916348886787542,46.99819458447477,8.378140249487958,96.82910965119332,LCS_01,13.188286091568589,80.32877428853668,low_cost,11.814544474994271,48.20344911116664,54.87286536892111,38.47812815068424,41.591105613547015,39.191486,13,0,0,44.244793,65.97487,60.91296,42.713315333333334,53.85046483333334,-0.9962315731096011,8.318699218797954,1.2597960961011796,18.419290850827185,55.223286,49.566387,46.46992,65.31914333333333,Satisfactory
2024-01-01 14:00:00,31.275082167486968,60.14577818662822,7.065509645631544,52.418569426648965,LCS_01,13.188286091568589,80.32877428853668,low_cost,12.695779529271164,46.38571151163562,52.60210883187786,36.35523659251625,42.339051347696056,38.537426,14,0,0,39.191486,44.703667,61.160908,40.65790166666667,50.0798845,4.309172038486956,5.599327003777736,1.5740827408404967,23.178634760795994,56.449062,50.044067,42.263268,64.22904333333334,Satisfactory
2024-01-01 15:00:00,32.26734160220437,57.87410001772919,5.360557584403825,184.0292424762648,LCS_01,13.188286091568589,80.32877428853668,low_cost,30.368750479894462,44.39820727905319,74.42102945178291,46.690748314931696,49.52798895677654,45.084385,15,0,0,38.537426,44.244793,67.827065,40.93776566666667,46.28943783333333,-5.347307991794822,-0.3766627889725697,4.774542180760859,26.092182067278095,49.636677,52.436836,45.00213,75.14064166666667,Satisfactory
